Name,Password,Card type,Property,Effect type,Archseries,TCG status,OCG status,Artwork,Page URL,Modification date,Errata,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows
Subterror Behemoth Voltelluric,21607304,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Subterror', 'Subterror Behemoth')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Subterror_Behemoth_Voltelluric,2020-03-17 00:39:56,,Effect Monster,Flip monster,EARTH,Thunder,9,1900,3000,,,
Subterror Cave Clash,68001309,Spell Card,Continuous Spell Card,"('Continuous-like Effect', 'Trigger Effect')","('Subterror',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Subterror_Cave_Clash,2022-04-20 15:32:48,,,,,,,,,,,
Subterror Fiendess,74762582,Monster Card,,"('Condition', 'Ignition Effect', 'Quick Effect')","('Subterror',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Subterror_Fiendess,2023-01-10 18:45:51,,Effect Monster,,EARTH,Spellcaster,1,800,500,,,
Subterror Final Battle,74640994,Trap Card,Normal Trap Card,"('Effect',)","('Subterror',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Subterror_Final_Battle,2022-10-11 17:48:29,,,,,,,,,,,
Subterror Guru,16428514,Monster Card,,"('Condition', 'Flip effect', 'Ignition Effect')","('Subterror',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Subterror_Guru,2020-08-30 18:54:47,,Effect Monster,Flip monster,EARTH,Dragon,4,1600,1800,,,
Subterror Nemesis Archer,39581190,Monster Card,,"('Condition', 'Trigger Effect')","('Subterror',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Subterror_Nemesis_Archer,2022-04-20 15:13:41,,Effect Monster,,EARTH,Fairy,3,1600,1400,,,
Subterror Nemesis Defender,68823957,Monster Card,,"('Continuous Effect', 'Quick Effect')","('Subterror',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Subterror_Nemesis_Defender,2022-08-13 12:53:26,,Effect Monster,,EARTH,Beast-Warrior,2,100,2000,,,
Subterror Nemesis Warrior,16719140,Monster Card,,"('Condition', 'Quick Effect', 'Trigger Effect')","('Subterror',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Subterror_Nemesis_Warrior,2020-03-17 00:41:10,,Effect Monster,,EARTH,Warrior,4,1800,1200,,,
Subterror Succession,73575650,Trap Card,Normal Trap Card,"('Condition', 'Effect')","('Subterror',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Subterror_Succession,2021-05-16 16:53:32,,,,,,,,,,,
Success Probability 0%,06859683,Trap Card,Normal Trap Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Success_Probability_0%25,2022-10-03 14:28:36,,,,,,,,,,,
Successor Soul,69145169,Spell Card,Quick-Play Spell Card,"('Condition', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Successor_Soul,2022-11-25 05:05:08,,,,,,,,,,,
Succubus Knight,55291359,Monster Card,,,,Unlimited,Unlimited,,https://yugipedia.com/wiki/Succubus_Knight,2022-04-20 15:56:19,,Normal Monster,,DARK,Warrior,5,1650,1300,,,
Suijin,98434877,Monster Card,,"('Quick Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Suijin,2022-10-06 17:23:50,,Effect Monster,,WATER,Aqua,7,2500,2400,,,
Summon Breaker,18114794,Spell Card,Field Spell Card,"('Trigger Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summon_Breaker,2021-02-03 22:43:50,,,,,,,,,,,
Summon Cloud,55375684,Spell Card,Continuous Spell Card,"('Ignition-like Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summon_Cloud,2022-07-24 07:39:04,,,,,,,,,,,
Summon Dice,41139112,Spell Card,Normal Spell Card,"('Condition', 'Cost', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summon_Dice,2019-12-05 19:48:27,,,,,,,,,,,
Summon Gate,29724053,Trap Card,Continuous Trap Card,"('Continuous-like Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summon_Gate,2019-12-05 19:48:47,,,,,,,,,,,
Summon Limit,23516703,Trap Card,Continuous Trap Card,"('Continuous-like Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summon_Limit,2022-12-14 11:50:46,,,,,,,,,,,
Summon Over,48015771,Spell Card,Field Spell Card,"('Continuous-like Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summon_Over,2019-12-05 19:49:28,,,,,,,,,,,
Summon Reactor・SK,89493368,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Reactor',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Summon_Reactor%E3%83%BBSK,2022-04-22 02:58:52,,Effect Monster,,DARK,Machine,5,2000,1400,,,
Summon Sorceress,61665245,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')",,Forbidden,Forbidden,,https://yugipedia.com/wiki/Summon_Sorceress,2022-04-20 15:32:27,,Link Monster,,DARK,Spellcaster,,2400,,,3,"('↙', '↘', '↑')"
Summon Storm,71459861,Spell Card,Normal Spell Card,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summon_Storm,2022-03-26 16:02:40,,,,,,,,,,,
Summoned Skull,70781052,Monster Card,,,"('Archfiend', 'Skull Archfiend')",Unlimited,Unlimited,"('Alternate',)",https://yugipedia.com/wiki/Summoned_Skull,2022-10-29 13:02:22,,Normal Monster,,DARK,Fiend,6,2500,1200,,,
Summoner Monk,00423585,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summoner_Monk,2022-04-15 16:21:25,"('Type',)",Effect Monster,,DARK,Spellcaster,4,800,1600,,,
Summoner of Illusions,14644902,Monster Card,,"('Flip effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summoner_of_Illusions,2021-11-13 03:27:24,"('Type',)",Effect Monster,Flip monster,LIGHT,Spellcaster,3,800,900,,,
Summoner's Art,79816536,Spell Card,Normal Spell Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summoner%27s_Art,2022-04-20 16:14:46,,,,,,,,,,,
Summoning Curse,61650133,Spell Card,Continuous Spell Card,"('Maintenance cost', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summoning_Curse,2023-01-03 20:31:27,,,,,,,,,,,
Summoning Swarm,52838896,Spell Card,Normal Spell Card,"('Condition', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Summoning_Swarm,2019-12-05 19:51:36,,,,,,,,,,,
Sun Dragon Inti,39823987,Monster Card,,"('Trigger Effect',)","('Inca',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sun_Dragon_Inti,2022-12-27 13:04:57,,Synchro Monster,,LIGHT,Dragon,8,3000,2800,,,
Sun God Unification,77432167,Trap Card,Continuous Trap Card,"('Condition', 'Quick-like Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Sun_God_Unification,2020-09-26 16:25:00,,,,,,,,,,,
Sunavalon Bloom,54340229,Trap Card,Continuous Trap Card,"('Condition', 'Effect', 'Quick-like Effect')","('Sunavalon',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunavalon_Bloom,2021-06-09 12:44:37,,,,,,,,,,,
Sunavalon Daphne,07984540,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Sunavalon',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunavalon_Daphne,2022-09-14 13:16:56,,Link Monster,,EARTH,Plant,,0,,,2,"('←', '→')"
Sunavalon Dryades,39880350,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Sunavalon',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunavalon_Dryades,2022-08-13 12:54:09,,Link Monster,,EARTH,Plant,,0,,,2,"('↙', '↘')"
Sunavalon Dryanome,65285459,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Sunavalon',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunavalon_Dryanome,2022-08-13 12:54:25,,Link Monster,,EARTH,Plant,,0,,,3,"('↓', '↙', '↘')"
Sunavalon Dryas,93896655,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Sunavalon',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunavalon_Dryas,2022-08-13 12:54:52,,Link Monster,,EARTH,Plant,,0,,,1,"('↓',)"
Sunavalon Dryatrentiay,92770064,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')","('Sunavalon',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunavalon_Dryatrentiay,2022-08-13 12:55:33,,Link Monster,,EARTH,Plant,,0,,,4,"('↓', '↙', '↘', '↑')"
Sunavalon Melias,44478599,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')","('Sunavalon',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunavalon_Melias,2022-09-14 13:16:41,,Link Monster,,EARTH,Plant,,0,,,3,"('←', '→', '↑')"
Sunlight Unicorn,10321588,Monster Card,,"('Ignition Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunlight_Unicorn,2020-10-29 10:27:54,,Effect Monster,,LIGHT,Beast,4,1800,1000,,,
Sunlit Sentinel,78360952,Monster Card,,"('Trigger Effect', 'Unclassified effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunlit_Sentinel,2022-05-19 23:09:13,,Effect Monster,,EARTH,Warrior,6,2300,1500,,,
Sunny Pixie,73837870,Monster Card,,"('Trigger Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunny_Pixie,2023-01-03 20:37:30,,Effect Monster,Tuner monster,LIGHT,Spellcaster,1,300,400,,,
Sunseed Genius Loci,27520594,Monster Card,,,"('Sunseed',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunseed_Genius_Loci,2021-04-16 13:21:49,,Normal Monster,,EARTH,Plant,1,0,600,,,
Sunseed Shadow,30013902,Monster Card,,"('Condition', 'Ignition Effect')","('Sunseed',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunseed_Shadow,2021-05-23 00:03:34,,Effect Monster,,EARTH,Plant,1,0,400,,,
Sunseed Twin,66407907,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Sunseed',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunseed_Twin,2021-04-16 13:36:45,,Effect Monster,,EARTH,Plant,2,0,800,,,
Sunvine Cross Breed,70473293,Spell Card,Continuous Spell Card,"('Condition', 'Ignition-like Effect')","('Sunvine',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunvine_Cross_Breed,2022-09-14 13:16:18,,,,,,,,,,,
Sunvine Gardna,28168762,Monster Card,,"('Trigger Effect',)","('Sunvine',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunvine_Gardna,2021-04-16 14:01:21,,Link Monster,,EARTH,Plant,,600,,,1,"('↑',)"
Sunvine Healer,65563871,Monster Card,,"('Trigger Effect',)","('Sunvine',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunvine_Healer,2022-04-20 15:26:08,,Link Monster,,EARTH,Plant,,600,,,1,"('↑',)"
Sunvine Maiden,53618293,Monster Card,,"('Condition', 'Continuous Effect', 'Quick Effect')","('Sunvine',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunvine_Maiden,2022-08-14 10:56:21,,Effect Monster,,EARTH,Plant,1,0,0,,,
Sunvine Shrine,27946124,Spell Card,Continuous Spell Card,"('Activation condition', 'Continuous-like Effect', 'Ignition-like Effect', 'Trigger Effect')","('Sunvine',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunvine_Shrine,2021-04-16 14:08:44,,,,,,,,,,,
Sunvine Sowing,53286626,Spell Card,Normal Spell Card,"('Condition', 'Effect', 'Unclassified effect')","('Sunvine',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunvine_Sowing,2022-09-14 11:33:19,,,,,,,,,,,
Sunvine Thrasher,91557476,Monster Card,,"('Trigger Effect',)","('Sunvine',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Sunvine_Thrasher,2022-07-24 08:21:24,,Link Monster,,EARTH,Plant,,800,,,1,"('↓',)"
Supay,78552773,Monster Card,,"('Trigger Effect',)","('Inca',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Supay,2022-07-21 17:13:38,"('Type',)",Effect Monster,Tuner monster,EARTH,Fiend,1,300,100,,,
"Supay, Duskwalker",17315396,Monster Card,,"('Condition', 'Ignition Effect')","('Inca',)",Unlimited,Unlimited,,"https://yugipedia.com/wiki/Supay,_Duskwalker",2022-07-22 00:04:06,,Effect Monster,,EARTH,Spellcaster,5,2200,1900,,,
Super All In!,16780318,Spell Card,Normal Spell Card,"('Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_All_In!,2020-10-06 16:27:53,,,,,,,,,,,
Super Anti-Kaiju War Machine Mecha-Dogoran,84769941,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Summoning condition', 'Unclassified effect')","('Kaiju',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Anti-Kaiju_War_Machine_Mecha-Dogoran,2021-12-03 18:48:49,,Effect Monster,,LIGHT,Machine,8,?,2000,,,
Super Anti-Kaiju War Machine Mecha-Thunder-King,29913783,Monster Card,,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect', 'Unclassified effect')","('Kaiju',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Anti-Kaiju_War_Machine_Mecha-Thunder-King,2021-12-27 17:13:59,,Effect Monster,,LIGHT,Machine,9,2200,2100,,,
"Super Armored Robot Armed Black Iron ""C""",77754169,Monster Card,,"('Condition', 'Ignition Effect')","('""C""',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Armored_Robot_Armed_Black_Iron_%22C%22,2020-08-02 04:31:18,,Effect Monster,,EARTH,Insect,8,2400,2800,,,
Super Conductor Tyranno,85520851,Monster Card,,"('Condition', 'Ignition Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Conductor_Tyranno,2020-03-17 00:45:39,"('Type',)",Effect Monster,,LIGHT,Dinosaur,8,3300,1400,,,
Super Crashbug,86804246,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Unclassified effect')","('Crashbug',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Crashbug,2021-07-10 13:28:31,,Effect Monster,,DARK,Fiend,4,0,3000,,,
Super Defense Robot Elephan,45496268,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Super Defense Robot',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Defense_Robot_Elephan,2020-03-17 00:46:22,,Effect Monster,,EARTH,Machine,8,1400,2500,,,
Super Defense Robot Lio,08091563,Monster Card,,"('Trigger Effect',)","('Super Defense Robot',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Defense_Robot_Lio,2021-01-26 17:27:24,,Effect Monster,,EARTH,Machine,4,1200,1600,,,
Super Defense Robot Monki,71880877,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Super Defense Robot',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Defense_Robot_Monki,2020-03-17 00:47:20,,Effect Monster,,EARTH,Machine,3,800,1200,,,
Super Double Summon,26120084,Spell Card,Quick-Play Spell Card,"('Condition', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Double_Summon,2022-04-25 02:50:36,,,,,,,,,,,
Super Express Bullet Train,52481437,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')","('Train',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Express_Bullet_Train,2022-11-05 13:38:54,,Effect Monster,,EARTH,Machine,10,3000,0,,,
Super Hippo Carnival,11050415,Spell Card,Quick-Play Spell Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Hippo_Carnival,2022-12-03 02:02:02,,,,,,,,,,,
Super Junior Confrontation,29590905,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Junior_Confrontation,2022-08-14 06:04:44,,,,,,,,,,,
Super Koi Koi,66171432,Spell Card,Normal Spell Card,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Koi_Koi,2021-05-23 01:46:09,,,,,,,,,,,
Super Polymerization,48130397,Spell Card,Quick-Play Spell Card,"('Condition', 'Cost', 'Effect')","('Polymerization (archetype)',)",Unlimited,Semi-Limited,,https://yugipedia.com/wiki/Super_Polymerization,2022-11-18 14:42:44,,,,,,,,,,,
Super Quantal Alphan Spike,72332074,Spell Card,Normal Spell Card,"('Activation condition', 'Effect', 'Ignition-like Effect')","('Super Quant',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Alphan_Spike,2022-07-24 04:17:18,,,,,,,,,,,
Super Quantal Alphancall Appeal,15721392,Spell Card,Quick-Play Spell Card,"('Activation condition', 'Condition', 'Effect')","('Super Quant',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Alphancall_Appeal,2022-04-20 15:16:30,,,,,,,,,,,
Super Quantal Fairy Alphan,58753372,Monster Card,,"('Condition', 'Ignition Effect')","('Super Quant',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Fairy_Alphan,2020-03-17 00:48:09,,Effect Monster,,LIGHT,Fairy,1,0,0,,,
Super Quantal Mech Beast Aeroboros,11646785,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Super Quant', 'Super Quantal Mech Beast')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Mech_Beast_Aeroboros,2020-03-17 00:48:31,,Xyz Monster,,WIND,Machine,4,2200,2400,,,
Super Quantal Mech Beast Grampulse,85252081,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Super Quant', 'Super Quantal Mech Beast')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Mech_Beast_Grampulse,2020-03-17 00:48:51,,Xyz Monster,,WATER,Machine,3,1800,2800,,,
Super Quantal Mech Beast Lusterrex,57450198,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Super Quant', 'Super Quantal Mech Beast')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Mech_Beast_Lusterrex,2020-03-17 00:49:11,,Xyz Monster,,LIGHT,Machine,7,2700,1900,,,
Super Quantal Mech Beast Magnaliger,57031794,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Super Quant', 'Super Quantal Mech Beast')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Mech_Beast_Magnaliger,2020-03-17 00:49:34,,Xyz Monster,,FIRE,Machine,5,2600,2000,,,
Super Quantal Mech King Great Magnus,84025439,Monster Card,,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')","('Super Quant',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Mech_King_Great_Magnus,2021-06-04 13:42:10,,Xyz Monster,,LIGHT,Machine,12,3600,3200,,,
Super Quantal Mech Ship Magnacarrier,10424147,Spell Card,Field Spell Card,"('Ignition-like Effect',)","('Super Quant',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Mech_Ship_Magnacarrier,2020-01-28 04:59:32,,,,,,,,,,,
Super Quantal Mech Sword - Magnaslayer,47819246,Trap Card,Normal Trap Card,"('Continuous-like Effect', 'Effect', 'Quick-like Effect')","('Super Quant',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Mech_Sword_-_Magnaslayer,2019-12-05 19:56:45,,,,,,,,,,,
Super Quantal Union - Magnaformation,01825445,Trap Card,Continuous Trap Card,"('Condition', 'Continuous-like Effect', 'Quick-like Effect')","('Super Quant',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantal_Union_-_Magnaformation,2022-08-14 11:29:55,,,,,,,,,,,
Super Quantum Blue Layer,12369277,Monster Card,,"('Condition', 'Trigger Effect')","('Super Quant', 'Super Quantum')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantum_Blue_Layer,2022-04-20 15:02:20,,Effect Monster,,WATER,Psychic,3,1200,2000,,,
Super Quantum Green Layer,85374678,Monster Card,,"('Condition', 'Trigger Effect')","('Super Quant', 'Super Quantum')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantum_Green_Layer,2020-03-17 00:50:18,,Effect Monster,,WIND,Spellcaster,4,1600,1400,,,
Super Quantum Red Layer,59975920,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('Super Quant', 'Super Quantum')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantum_Red_Layer,2020-10-08 15:15:27,,Effect Monster,,FIRE,Warrior,5,2000,800,,,
Super Quantum White Layer,73422829,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Super Quant', 'Super Quantum')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Quantum_White_Layer,2020-03-17 00:50:53,,Effect Monster,,LIGHT,Fairy,7,2400,2400,,,
Super Rejuvenation,27770341,Spell Card,Quick-Play Spell Card,"('Effect',)",,Unlimited,Unlimited,"('Edited',)",https://yugipedia.com/wiki/Super_Rejuvenation,2021-07-12 23:25:31,"('Type',)",,,,,,,,,,
Super Robolady,75923050,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Robo',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Robolady,2022-04-20 15:11:31,,Fusion Monster,,EARTH,Machine,6,1200,500,,,
Super Roboyarou,01412158,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect')","('Robo',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Roboyarou,2022-04-07 17:41:22,,Fusion Monster,,EARTH,Machine,6,1200,500,,,
Super Rush Headlong,48422921,Spell Card,Quick-Play Spell Card,"('Cost', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Rush_Headlong,2019-12-05 19:58:20,,,,,,,,,,,
Super Rush Recklessly,32854013,Trap Card,Normal Trap Card,"('Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Rush_Recklessly,2022-03-21 19:55:38,,,,,,,,,,,
Super Solar Nutrient,28529976,Spell Card,Continuous Spell Card,"('Continuous-like Effect', 'Cost', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Solar_Nutrient,2020-03-21 12:27:31,,,,,,,,,,,
Super Soldier Rebirth,73694478,Trap Card,Normal Trap Card,"('Condition', 'Effect', 'Quick-like Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Soldier_Rebirth,2019-12-05 19:58:55,,,,,,,,,,,
Super Soldier Ritual,14094090,Spell Card,Ritual Spell Card,"('Condition', 'Effect', 'Ignition-like Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Soldier_Ritual,2019-12-05 19:59:06,,,,,,,,,,,
Super Soldier Shield,00799183,Trap Card,Counter Trap Card,"('Activation condition', 'Effect', 'Quick-like Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Soldier_Shield,2021-09-15 17:01:02,,,,,,,,,,,
Super Soldier Soul,79234734,Monster Card,,"('Condition', 'Ignition Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Soldier_Soul,2020-03-17 11:11:05,,Effect Monster,,EARTH,Warrior,1,0,0,,,
Super Soldier Synthesis,45948430,Spell Card,Ritual Spell Card,"('Condition', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Soldier_Synthesis,2022-08-14 09:26:19,,,,,,,,,,,
Super Strident Blaze,81193865,Spell Card,Equip Spell Card,"('Condition', 'Continuous-like Effect', 'Trigger Effect')","('Signature move',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Strident_Blaze,2021-05-19 19:22:34,,,,,,,,,,,
Super Team Buddy Force Unite!,08608979,Trap Card,Normal Trap Card,"('Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Team_Buddy_Force_Unite!,2021-09-09 00:51:55,,,,,,,,,,,
Super Vehicroid - Mobile Base,17745969,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Vehicroid', 'roid')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Vehicroid_-_Mobile_Base,2020-08-30 04:36:46,,Fusion Monster,,EARTH,Machine,10,0,5000,,,
Super Vehicroid - Stealth Union,03897065,Monster Card,,"('Continuous Effect', 'Ignition Effect')","('Vehicroid', 'roid')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Vehicroid_-_Stealth_Union,2022-10-06 17:41:14,,Fusion Monster,,EARTH,Machine,9,3600,3000,,,
Super Vehicroid Jumbo Drill,36256625,Monster Card,,"('Continuous Effect', 'Summoning condition')","('Vehicroid', 'roid')",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_Vehicroid_Jumbo_Drill,2022-11-08 12:10:26,,Fusion Monster,,EARTH,Machine,8,3000,2000,,,
Super War-Lion,,Monster Card,,,,,Unlimited,,https://yugipedia.com/wiki/Super_War-Lion_(Normal),2022-04-17 01:31:34,,Normal Monster,,EARTH,Beast,7,2300,2100,,,
Super War-Lion,33951077,Monster Card,,,,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super_War-Lion,2020-05-01 17:36:31,,Ritual Monster,,EARTH,Beast,7,2300,2100,,,
Super-Ancient Dinobeast,06849042,Monster Card,,"('Summoning condition', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super-Ancient_Dinobeast,2020-03-17 00:56:06,"('Type',)",Effect Monster,,EARTH,Dinosaur,8,2700,1400,,,
Super-Electromagnetic Voltech Dragon,20529766,Monster Card,,"('Continuous Effect', 'Trigger Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Super-Electromagnetic_Voltech_Dragon,2022-04-22 02:59:34,,Effect Monster,,LIGHT,Thunder,5,2400,1000,,,
Super-Nimble Mega Hamster,05220687,Monster Card,,"('Flip effect',)","('Nimble',)",Unlimited,Unlimited,,https://yugipedia.com/wiki/Super-Nimble_Mega_Hamster,2021-11-01 01:57:34,"('Type',)",Effect Monster,Flip monster,EARTH,Beast,4,1100,1800,,,
Superalloy Beast Raptinus,64463828,Monster Card,,"('Continuous Effect',)",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Superalloy_Beast_Raptinus,2020-03-17 00:56:50,"('Name',)",Fusion Monster,,LIGHT,Dragon,8,2200,2200,,,
Superancient Deepsea King Coelacanth,88307361,Monster Card,,"('Ignition Effect', 'Quick Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Superancient_Deepsea_King_Coelacanth,2022-04-22 02:59:53,,Effect Monster,,WATER,Fish,7,2800,2200,,,
Supercharge,97705809,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,Unlimited,Unlimited,,https://yugipedia.com/wiki/Supercharge,2022-10-06 17:45:24,,,,,,,,,,,
