Card number,Set,Rarity,Region,Release,Series,Set type,Cover card,Page URL,Modification date,Version
PP01-IT009,Premium Pack (TCG),"('Super Rare', 'Secret Rare')",IT,2007-10-08,Premium Pack,Booster pack,"('Magician of Black Chaos',)",https://yugipedia.com/wiki/Premium_Pack_(TCG),2022-12-23 11:14:58,New
PP01-IT010,Premium Pack,"('Super Rare', 'Secret Rare')",IT,,,,,https://yugipedia.com/wiki/Premium_Pack,2022-12-27 02:29:51,Old
PP01-IT010,Premium Pack (TCG),"('Super Rare', 'Secret Rare')",IT,2007-10-08,Premium Pack,Booster pack,"('Magician of Black Chaos',)",https://yugipedia.com/wiki/Premium_Pack_(TCG),2022-12-23 11:14:58,New
PP01-IT011,Premium Pack,"('Super Rare', 'Secret Rare')",IT,,,,,https://yugipedia.com/wiki/Premium_Pack,2022-12-27 02:29:51,Old
PP01-IT011,Premium Pack (TCG),"('Super Rare', 'Secret Rare')",IT,2007-10-08,Premium Pack,Booster pack,"('Magician of Black Chaos',)",https://yugipedia.com/wiki/Premium_Pack_(TCG),2022-12-23 11:14:58,New
PP01-IT012,Premium Pack,"('Super Rare', 'Secret Rare')",IT,,,,,https://yugipedia.com/wiki/Premium_Pack,2022-12-27 02:29:51,Old
PP01-IT012,Premium Pack (TCG),"('Super Rare', 'Secret Rare')",IT,2007-10-08,Premium Pack,Booster pack,"('Magician of Black Chaos',)",https://yugipedia.com/wiki/Premium_Pack_(TCG),2022-12-23 11:14:58,New
PP01-IT013,Premium Pack,"('Super Rare', 'Secret Rare')",IT,,,,,https://yugipedia.com/wiki/Premium_Pack,2022-12-27 02:29:51,Old
PP01-IT013,Premium Pack (TCG),"('Super Rare', 'Secret Rare')",IT,2007-10-08,Premium Pack,Booster pack,"('Magician of Black Chaos',)",https://yugipedia.com/wiki/Premium_Pack_(TCG),2022-12-23 11:14:58,New
PP01-IT014,Premium Pack,"('Super Rare', 'Secret Rare')",IT,,,,,https://yugipedia.com/wiki/Premium_Pack,2022-12-27 02:29:51,Old
PP01-IT014,Premium Pack (TCG),"('Super Rare', 'Secret Rare')",IT,2007-10-08,Premium Pack,Booster pack,"('Magician of Black Chaos',)",https://yugipedia.com/wiki/Premium_Pack_(TCG),2022-12-23 11:14:58,New
PP01-IT015,Premium Pack,"('Super Rare', 'Secret Rare')",IT,,,,,https://yugipedia.com/wiki/Premium_Pack,2022-12-27 02:29:51,Old
PP01-IT015,Premium Pack (TCG),"('Super Rare', 'Secret Rare')",IT,2007-10-08,Premium Pack,Booster pack,"('Magician of Black Chaos',)",https://yugipedia.com/wiki/Premium_Pack_(TCG),2022-12-23 11:14:58,New
PP02-DE001,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE001,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE002,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE002,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE003,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE003,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE004,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE004,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE005,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE005,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE006,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE006,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE007,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE007,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE008,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE008,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE009,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE009,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE010,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE010,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE011,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE011,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE012,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE012,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE013,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE013,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE014,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE014,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE015,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE015,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE016,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE016,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE017,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE017,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE018,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE018,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE019,Premium Pack 2,"('Super Rare', 'Secret Rare')",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE019,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-DE020,Premium Pack 2,"('Secret Rare',)",DE,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-DE020,Premium Pack 2 (TCG),"('Secret Rare',)",DE,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN001,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN001,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN002,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN002,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN003,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN003,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN004,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN004,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN005,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN005,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN006,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN006,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN007,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN007,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN008,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN008,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN009,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN009,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN010,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN010,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN011,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN011,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN012,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN012,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN013,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN013,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN014,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN014,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN015,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN015,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN016,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN016,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN017,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN017,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN018,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN018,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN019,Premium Pack 2,"('Super Rare', 'Secret Rare')",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN019,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-EN020,Premium Pack 2,"('Secret Rare',)",EN,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-EN020,Premium Pack 2 (TCG),"('Secret Rare',)",EN,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR001,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR001,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR002,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR002,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR003,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR003,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR004,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR004,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR005,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR005,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR006,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR006,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR007,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR007,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR008,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR008,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR009,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR009,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR010,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR010,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR011,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR011,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR012,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR012,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR013,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR013,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR014,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR014,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR015,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR015,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR016,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR016,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR017,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR017,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR018,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR018,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR019,Premium Pack 2,"('Super Rare', 'Secret Rare')",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR019,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-FR020,Premium Pack 2,"('Secret Rare',)",FR,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-FR020,Premium Pack 2 (TCG),"('Secret Rare',)",FR,2008-07-29,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-IT001,Premium Pack 2,"('Super Rare', 'Secret Rare')",IT,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-IT001,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",IT,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-IT002,Premium Pack 2,"('Super Rare', 'Secret Rare')",IT,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-IT002,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",IT,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-IT003,Premium Pack 2,"('Super Rare', 'Secret Rare')",IT,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
PP02-IT003,Premium Pack 2 (TCG),"('Super Rare', 'Secret Rare')",IT,2008-07-31,Premium Pack,Booster pack,"('Elemental HERO Voltic',)",https://yugipedia.com/wiki/Premium_Pack_2_(TCG),2022-07-26 20:37:07,New
PP02-IT004,Premium Pack 2,"('Secret Rare',)",IT,,,,,https://yugipedia.com/wiki/Premium_Pack_2,2015-05-22 19:35:08,Old
