Name,Card type,Property,Archseries,Attribute,Primary type,Monster type,Effect type,DEF,Legend,Maximum mode,ATK,MAXIMUM ATK,Level/Rank,Page name,Page URL,Artwork,Modification date,Errata
Severing Psychic Wall,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Severing Psychic Wall,https://yugipedia.com/wiki/Severing_Psychic_Wall,,2022-04-20 15:40:00,
Shadow Buyer,Monster Card,,,DARK,Effect Monster,Fiend,"('Effect',)",0,False,False,1200,,4,Shadow Buyer,https://yugipedia.com/wiki/Shadow_Buyer,,2023-02-04 14:23:00,
Shadow Flower Duplication,Spell Card,Normal Spell Card,"('Shadow Flower',)",,,,"('Effect',)",,False,False,,,,Shadow Flower Duplication,https://yugipedia.com/wiki/Shadow_Flower_Duplication,,2023-02-04 14:19:38,
Shadow Flower Purple Smoke Spray,Spell Card,Normal Spell Card,"('Shadow Flower',)",,,,"('Effect',)",,False,False,,,,Shadow Flower Purple Smoke Spray,https://yugipedia.com/wiki/Shadow_Flower_Purple_Smoke_Spray,,2022-09-21 06:00:37,
Shadow Flower Return,Trap Card,Normal Trap Card,"('Shadow Flower',)",,,,"('Effect',)",,False,False,,,,Shadow Flower Return,https://yugipedia.com/wiki/Shadow_Flower_Return,,2022-09-21 05:58:31,
Shadow Flower Sewing,Spell Card,Normal Spell Card,"('Shadow Flower',)",,,,"('Effect',)",,False,False,,,,Shadow Flower Sewing,https://yugipedia.com/wiki/Shadow_Flower_Sewing,,2023-02-04 14:19:45,
Shadow Flower Spore,Spell Card,Normal Spell Card,"('Shadow Flower',)",,,,"('Effect',)",,False,False,,,,Shadow Flower Spore,https://yugipedia.com/wiki/Shadow_Flower_Spore,,2023-01-30 17:28:11,
Shadow Flower Stance,Trap Card,Normal Trap Card,"('Shadow Flower',)",,,,"('Effect',)",,False,False,,,,Shadow Flower Stance,https://yugipedia.com/wiki/Shadow_Flower_Stance,,2022-09-21 06:17:51,
Shadow Flower Wish,Spell Card,Normal Spell Card,"('Shadow Flower',)",,,,"('Effect',)",,False,False,,,,Shadow Flower Wish,https://yugipedia.com/wiki/Shadow_Flower_Wish,,2022-11-16 04:07:48,
Shadow Ghoul,Monster Card,,,DARK,Effect Monster,Zombie,"('Continuous Effect',)",1300,False,False,1600,,5,Shadow Ghoul (Rush Duel),https://yugipedia.com/wiki/Shadow_Ghoul_(Rush_Duel),,2022-10-30 06:16:04,
Shadow Sentinel,Monster Card,,,DARK,Normal Monster,Galaxy (Type),,100,False,False,1500,,4,Shadow Sentinel,https://yugipedia.com/wiki/Shadow_Sentinel,,2022-12-21 09:15:46,
Shaman Octopus,Monster Card,,,WATER,Effect Monster,Fish,"('Effect',)",0,False,False,1000,,3,Shaman Octopus,https://yugipedia.com/wiki/Shaman_Octopus,,2022-09-21 04:01:20,"('Any',)"
Shape of Aqua,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Shape of Aqua,https://yugipedia.com/wiki/Shape_of_Aqua,,2022-12-10 20:58:13,
"Shariel, the Novice Sushi Fairy",Monster Card,,"('Sushi Fairy',)",LIGHT,Effect Monster,Fairy,"('Effect',)",500,False,False,0,,1,"Shariel, the Novice Sushi Fairy","https://yugipedia.com/wiki/Shariel,_the_Novice_Sushi_Fairy",,2023-02-04 14:23:24,
Shichirin Samurai - Kushiro the Skewer Master,Monster Card,,"('Yakiniku',)",FIRE,Effect Monster,Beast,"('Effect',)",900,False,False,2200,,7,Shichirin Samurai - Kushiro the Skewer Master,https://yugipedia.com/wiki/Shichirin_Samurai_-_Kushiro_the_Skewer_Master,,2022-12-25 17:41:20,
Shield & Sword,Spell Card,Normal Spell Card,,,,,"('Effect',)",,True,False,,,,Shield & Sword (Rush Duel),https://yugipedia.com/wiki/Shield_%26_Sword_(Rush_Duel),,2021-12-11 20:01:01,
Shield Boring Kong,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",1700,False,False,2300,,8,Shield Boring Kong,https://yugipedia.com/wiki/Shield_Boring_Kong,,2022-12-21 09:21:41,"('Any',)"
Shining City Nights,Spell Card,Field Spell Card,"('Bubble Era',)",,,,"('Effect',)",,False,False,,,,Shining City Nights,https://yugipedia.com/wiki/Shining_City_Nights,,2022-12-21 09:17:26,
Shining Shaman,Monster Card,,,LIGHT,Effect Monster,Spellcaster,"('Effect',)",0,False,False,500,,2,Shining Shaman,https://yugipedia.com/wiki/Shining_Shaman,,2021-12-03 04:08:05,
Ship of Seven Treasures,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Ship of Seven Treasures,https://yugipedia.com/wiki/Ship_of_Seven_Treasures,,2022-09-21 05:57:28,
Shitotsu the Talismanic Warrior,Monster Card,,"('Talismanic',)",WATER,Effect Monster,Warrior,"('Effect',)",1000,False,False,1000,,4,Shitotsu the Talismanic Warrior,https://yugipedia.com/wiki/Shitotsu_the_Talismanic_Warrior,,2022-10-03 13:36:17,
Shock Dragon,Monster Card,,,FIRE,Effect Monster,Dragon,"('Effect',)",2500,False,False,1600,,7,Shock Dragon,https://yugipedia.com/wiki/Shock_Dragon,,2022-09-21 03:35:00,
Shocking Comeback!!,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Shocking Comeback!!,https://yugipedia.com/wiki/Shocking_Comeback!!,,2023-01-30 10:06:23,
Shoulder Phone Nyan Nyan,Monster Card,,"('Bubble Era',)",LIGHT,Effect Monster,Aqua,"('Effect',)",0,False,False,1200,,4,Shoulder Phone Nyan Nyan,https://yugipedia.com/wiki/Shoulder_Phone_Nyan_Nyan,,2022-10-20 07:02:06,
Shovel Crusher,Monster Card,,,EARTH,Normal Monster,Machine,,1200,False,False,900,,3,Shovel Crusher (Rush Duel),https://yugipedia.com/wiki/Shovel_Crusher_(Rush_Duel),,2022-04-23 23:53:50,
Showering Seaferno,Monster Card,,,WATER,Fusion Monster,Thunder,"('Effect',)",2400,False,False,2800,,8,Showering Seaferno,https://yugipedia.com/wiki/Showering_Seaferno,,2023-01-12 19:30:31,
Shrinker Shrimp,Monster Card,,,LIGHT,Effect Monster,Cyberse,"('Effect',)",100,False,False,1700,,5,Shrinker Shrimp,https://yugipedia.com/wiki/Shrinker_Shrimp,,2023-01-30 11:37:55,
Sickleon,Monster Card,,"('Chameleon',)",WIND,Effect Monster,Reptile,"('Effect',)",600,False,False,1000,,3,Sickleon,https://yugipedia.com/wiki/Sickleon,,2022-09-21 06:22:21,
Siesta Hold,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Siesta Hold,https://yugipedia.com/wiki/Siesta_Hold,,2023-01-10 18:59:10,
Siesta Torero,Monster Card,,,WATER,Effect Monster,Warrior,"('Effect',)",0,False,False,1200,,3,Siesta Torero,https://yugipedia.com/wiki/Siesta_Torero,,2023-01-10 18:57:18,"('Any',)"
"Sieth, the Scabbard of Noble Arms",Monster Card,,"('Holy Swordsman',)",LIGHT,Effect Monster,Spellcaster,"('Effect',)",200,False,False,1700,,5,"Sieth, the Scabbard of Noble Arms","https://yugipedia.com/wiki/Sieth,_the_Scabbard_of_Noble_Arms",,2022-10-20 07:38:16,
Sigilstate Sol,Monster Card,,,LIGHT,Effect Monster,Cyberse,"('Effect',)",0,False,False,2500,,7,Sigilstate Sol,https://yugipedia.com/wiki/Sigilstate_Sol,,2021-12-17 12:20:39,
Silent Assailant,Monster Card,,,DARK,Normal Monster,Psychic,,0,False,False,1500,,4,Silent Assailant,https://yugipedia.com/wiki/Silent_Assailant,,2022-10-20 07:04:17,
Silent Doom,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Silent Doom (Rush Duel),https://yugipedia.com/wiki/Silent_Doom_(Rush_Duel),,2022-12-19 12:39:02,
Silent Learning,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Silent Learning,https://yugipedia.com/wiki/Silent_Learning,,2022-08-25 01:02:32,
Silver Fang,Monster Card,,,EARTH,Normal Monster,Beast,,800,False,False,1200,,3,Silver Fang (Rush Duel),https://yugipedia.com/wiki/Silver_Fang_(Rush_Duel),,2022-09-21 03:03:29,
Silver Seyfert,Monster Card,,,LIGHT,Normal Monster,Galaxy (Type),,800,False,False,2000,,6,Silver Seyfert,https://yugipedia.com/wiki/Silver_Seyfert,,2022-12-21 09:14:22,
Silver Wolf,Monster Card,,,EARTH,Effect Monster,Beast,"('Effect',)",400,False,False,1300,,3,Silver Wolf,https://yugipedia.com/wiki/Silver_Wolf,,2022-09-21 04:39:39,
Silver-Eyes Star Cat,Monster Card,,"('Cat (Rush Duel series)',)",DARK,Normal Monster,Beast,,200,False,False,1400,,4,Silver-Eyes Star Cat,https://yugipedia.com/wiki/Silver-Eyes_Star_Cat,,2023-01-21 13:54:08,
Silvermountain of Blisstopia,Spell Card,Field Spell Card,"('Blisstopia',)",,,,"('Effect',)",,False,False,,,,Silvermountain of Blisstopia,https://yugipedia.com/wiki/Silvermountain_of_Blisstopia,,2022-12-13 15:35:00,
Site Preview,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Site Preview,https://yugipedia.com/wiki/Site_Preview,,2023-02-04 14:18:03,
Skull Servant,Monster Card,,,DARK,Normal Monster,Zombie,,200,False,False,300,,1,Skull Servant (Rush Duel),https://yugipedia.com/wiki/Skull_Servant_(Rush_Duel),,2022-09-21 03:21:22,
Sky Dragon,Monster Card,,,WIND,Normal Monster,Dragon,,1800,False,False,1900,,6,Sky Dragon (Rush Duel),https://yugipedia.com/wiki/Sky_Dragon_(Rush_Duel),,2022-02-09 02:41:56,
Skysavior Prayer,Spell Card,Normal Spell Card,"('Skysavior',)",,,,"('Effect',)",,False,False,,,,Skysavior Prayer,https://yugipedia.com/wiki/Skysavior_Prayer,,2023-01-21 14:43:02,
Skysavior Symbol,Spell Card,Equip Spell Card,"('Skysavior',)",,,,"('Effect',)",,False,False,,,,Skysavior Symbol,https://yugipedia.com/wiki/Skysavior_Symbol,,2023-01-21 14:45:31,
Skysavior Witnesses,Spell Card,Normal Spell Card,"('Skysavior',)",,,,"('Effect',)",,False,False,,,,Skysavior Witnesses,https://yugipedia.com/wiki/Skysavior_Witnesses,,2023-01-21 14:44:39,
Slash Halo,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Slash Halo,https://yugipedia.com/wiki/Slash_Halo,,2023-02-04 14:17:46,
Slot Machine PG-7,Monster Card,,,DARK,Effect Monster,Machine,"('Effect',)",1000,False,False,700,,3,Slot Machine PG-7,https://yugipedia.com/wiki/Slot_Machine_PG-7,,2023-02-06 12:23:19,
Smashing Ground,Spell Card,Normal Spell Card,,,,,"('Effect',)",,True,False,,,,Smashing Ground (Rush Duel),https://yugipedia.com/wiki/Smashing_Ground_(Rush_Duel),,2022-09-25 03:01:09,
Snake Clown,Monster Card,,"('Metarion',)",LIGHT,Normal Monster,Reptile,,500,False,False,1700,,5,Snake Clown,https://yugipedia.com/wiki/Snake_Clown,,2022-12-30 01:32:44,
Sneezing Greedizauls,Monster Card,,"('Nouveau Riche Dinosaur',)",LIGHT,Effect Monster,Dinosaur,"('Effect',)",1700,False,False,2400,,7,Sneezing Greedizauls,https://yugipedia.com/wiki/Sneezing_Greedizauls,,2022-12-13 07:15:45,
Sogen,Spell Card,Field Spell Card,,,,,"('Effect',)",,False,False,,,,Sogen (Rush Duel),https://yugipedia.com/wiki/Sogen_(Rush_Duel),,2022-10-20 07:19:00,
Solcier the Skysavior Lightflash,Monster Card,,"('Skysavior',)",LIGHT,Fusion Monster,Celestial Warrior,"('Multi-Choice Effect',)",2800,False,False,2200,,9,Solcier the Skysavior Lightflash,https://yugipedia.com/wiki/Solcier_the_Skysavior_Lightflash,,2023-01-21 14:28:24,
Soleil the Skysavior Angel,Monster Card,,"('Skysavior',)",LIGHT,Effect Monster,Fairy,"('Effect',)",1000,False,False,0,,1,Soleil the Skysavior Angel,https://yugipedia.com/wiki/Soleil_the_Skysavior_Angel,,2023-01-21 14:06:59,
Sonic Attacker,Monster Card,,,WIND,Effect Monster,Machine,"('Effect',)",1000,False,False,1300,,5,Sonic Attacker,https://yugipedia.com/wiki/Sonic_Attacker,,2022-09-21 03:07:51,
Sorapuyo,Monster Card,,,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",0,False,False,1000,,2,Sorapuyo,https://yugipedia.com/wiki/Sorapuyo,,2022-09-20 11:07:13,
Soul of a Reporter,Trap Card,Normal Trap Card,"('Newspaper',)",,,,"('Effect',)",,False,False,,,,Soul of a Reporter,https://yugipedia.com/wiki/Soul_of_a_Reporter,,2022-10-20 07:34:09,
Sparkhearts Girl,Monster Card,,,FIRE,Effect Monster,Spellcaster,"('Effect',)",1200,False,False,800,,3,Sparkhearts Girl,https://yugipedia.com/wiki/Sparkhearts_Girl,,2022-10-20 07:08:44,
Sparks,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Sparks (Rush Duel),https://yugipedia.com/wiki/Sparks_(Rush_Duel),,2022-09-21 03:18:07,
Spectral Swords of the Everloyal Guard,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Spectral Swords of the Everloyal Guard,https://yugipedia.com/wiki/Spectral_Swords_of_the_Everloyal_Guard,,2022-02-11 17:09:41,
Speedy Performer,Monster Card,,"('Psychic Musician',)",DARK,Effect Monster,Psychic,"('Effect',)",1000,False,False,400,,3,Speedy Performer,https://yugipedia.com/wiki/Speedy_Performer,,2023-01-05 22:41:28,
Spell Archer,Monster Card,,,WIND,Normal Monster,Spellcaster,,400,False,False,1000,,3,Spell Archer,https://yugipedia.com/wiki/Spell_Archer,,2022-08-24 13:10:35,
Spice the Elite Noodle Ninja,Monster Card,,"('Noodle Ninja',)",FIRE,Effect Monster,Pyro,"('Effect',)",0,False,False,2200,,7,Spice the Elite Noodle Ninja,https://yugipedia.com/wiki/Spice_the_Elite_Noodle_Ninja,,2022-12-21 09:44:39,"('Any',)"
Spider Roll the Sushi Fairy,Monster Card,,"('Sushi Fairy',)",DARK,Normal Monster,Fairy,,800,False,False,800,,2,Spider Roll the Sushi Fairy,https://yugipedia.com/wiki/Spider_Roll_the_Sushi_Fairy,,2022-10-30 07:46:36,
Spike Seadra,Monster Card,,,WATER,Normal Monster,Sea Serpent,,1300,False,False,1600,,5,Spike Seadra (Rush Duel),https://yugipedia.com/wiki/Spike_Seadra_(Rush_Duel),,2022-04-23 01:19:18,
Spiral Geyser,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Spiral Geyser,https://yugipedia.com/wiki/Spiral_Geyser,,2022-09-21 06:17:44,
Spirit of Bolt of Inspiration,Monster Card,,,EARTH,Effect Monster,Thunder,"('Effect',)",1200,False,False,800,,2,Spirit of Bolt of Inspiration,https://yugipedia.com/wiki/Spirit_of_Bolt_of_Inspiration,,2022-09-21 06:18:21,
Spirit of the Mini Harp,Monster Card,,"('Bubble Actress',)",WATER,Normal Monster,Aqua,,1400,False,False,0,,1,Spirit of the Mini Harp,https://yugipedia.com/wiki/Spirit_of_the_Mini_Harp,,2022-07-12 15:12:17,
Splendid Floor Master,Monster Card,,,WATER,Fusion Monster,Spellcaster,"('Effect',)",1200,False,False,2400,,6,Splendid Floor Master,https://yugipedia.com/wiki/Splendid_Floor_Master,,2022-11-17 12:08:58,
Splitter Slime,Monster Card,,,WATER,Effect Monster,Aqua,"('Effect',)",500,False,False,1000,,3,Splitter Slime,https://yugipedia.com/wiki/Splitter_Slime,,2022-11-17 12:09:49,
Sportsdragon Closer,Monster Card,,"('Sportsdragon',)",FIRE,Effect Monster,Dragon,"('Effect',)",1300,False,False,2200,,7,Sportsdragon Closer,https://yugipedia.com/wiki/Sportsdragon_Closer,,2022-12-30 03:20:32,
Sportsdragon Connection,Spell Card,Normal Spell Card,"('Sportsdragon',)",,,,"('Effect',)",,False,False,,,,Sportsdragon Connection,https://yugipedia.com/wiki/Sportsdragon_Connection,,2021-12-17 10:54:18,
Sportsdragon Defender,Monster Card,,"('Sportsdragon',)",EARTH,Effect Monster,Dragon,"('Effect',)",700,False,False,300,,2,Sportsdragon Defender,https://yugipedia.com/wiki/Sportsdragon_Defender,,2022-09-21 04:04:32,
Sportsdragon Keeper,Monster Card,,"('Sportsdragon',)",EARTH,Normal Monster,Dragon,,1900,False,False,400,,6,Sportsdragon Keeper,https://yugipedia.com/wiki/Sportsdragon_Keeper,,2022-09-21 03:49:03,
Sportsdragon Kickbase Master,Monster Card,,"('Sportsdragon',)",DARK,Fusion Monster,Dragon,"('Effect',)",200,False,False,2300,,7,Sportsdragon Kickbase Master,https://yugipedia.com/wiki/Sportsdragon_Kickbase_Master,,2022-10-31 18:33:13,
Sportsdragon Pitcher,Monster Card,,"('Sportsdragon',)",DARK,Effect Monster,Dragon,"('Effect',)",1000,False,False,0,,1,Sportsdragon Pitcher,https://yugipedia.com/wiki/Sportsdragon_Pitcher,,2023-01-03 23:15:12,
Sportsdragon Slugger,Monster Card,,"('Sportsdragon',)",DARK,Effect Monster,Dragon,"('Effect',)",0,False,False,1000,,3,Sportsdragon Slugger,https://yugipedia.com/wiki/Sportsdragon_Slugger,,2023-01-03 23:10:14,
Sportsdragon Striker,Monster Card,,"('Sportsdragon',)",EARTH,Effect Monster,Dragon,"('Effect',)",200,False,False,1300,,4,Sportsdragon Striker,https://yugipedia.com/wiki/Sportsdragon_Striker,,2022-09-21 04:03:37,
Spy Observation,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Spy Observation,https://yugipedia.com/wiki/Spy_Observation,,2022-09-21 06:15:10,
Spyturtle,Monster Card,,,LIGHT,Effect Monster,Reptile,"('Effect',)",1300,False,False,800,,4,Spyturtle,https://yugipedia.com/wiki/Spyturtle,,2022-12-21 09:52:51,
Star Cat Destronya,Monster Card,,"('Cat (Rush Duel series)',)",DARK,Fusion Monster,Beast-Warrior,"('Effect',)",200,False,False,2900,,9,Star Cat Destronya,https://yugipedia.com/wiki/Star_Cat_Destronya,,2023-01-21 14:26:46,
Star Cat Straynya,Monster Card,,"('Cat (Rush Duel series)',)",DARK,Fusion Monster,Beast-Warrior,"('Effect',)",200,False,False,2900,,9,Star Cat Straynya,https://yugipedia.com/wiki/Star_Cat_Straynya,,2023-01-21 14:25:51,
The Star Dragon,Monster Card,,"('The',)",LIGHT,Effect Monster,Dragon,"('Effect',)",1500,False,False,2500,,7,The Star Dragon,https://yugipedia.com/wiki/The_Star_Dragon,,2023-01-11 01:08:51,
Star Restart,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Star Restart,https://yugipedia.com/wiki/Star_Restart,,2022-10-20 06:55:24,
Star Trancer,Monster Card,,,DARK,Effect Monster,Galaxy (Type),"('Effect',)",1200,False,False,1700,,6,Star Trancer,https://yugipedia.com/wiki/Star_Trancer,"('Edited',)",2023-01-31 20:43:44,
Star Tri-Leo,Monster Card,,,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",1300,False,False,300,,3,Star Tri-Leo,https://yugipedia.com/wiki/Star_Tri-Leo,,2023-01-10 21:00:50,
Stardom Light,Spell Card,Normal Spell Card,"('Band Group',)",,,,"('Effect',)",,False,False,,,,Stardom Light,https://yugipedia.com/wiki/Stardom_Light,,2022-09-25 03:05:05,
Startup Goblin,Monster Card,,,EARTH,Effect Monster,Beast-Warrior,"('Effect',)",1000,False,False,1000,,4,Startup Goblin,https://yugipedia.com/wiki/Startup_Goblin,,2022-10-30 07:46:07,
Steel Mech Lord Mirror Innovator,Monster Card,,,LIGHT,Effect Monster,Machine,"('Effect',)",1800,False,False,2400,,7,Steel Mech Lord Mirror Innovator,https://yugipedia.com/wiki/Steel_Mech_Lord_Mirror_Innovator,,2022-09-21 06:17:27,
Steel Steed Martin Vinary,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",1700,False,False,2400,,7,Steel Steed Martin Vinary,https://yugipedia.com/wiki/Steel_Steed_Martin_Vinary,,2023-02-15 13:32:23,
Steel Strike Dragon Metagias,Monster Card,,"('Strike Dragon',)",DARK,Effect Monster,Dragon,"('Effect',)",1500,False,False,2500,,7,Steel Strike Dragon Metagias,https://yugipedia.com/wiki/Steel_Strike_Dragon_Metagias,,2022-12-25 09:22:43,
Stemagic,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Stemagic,https://yugipedia.com/wiki/Stemagic,,2023-01-21 14:32:51,
Stock Buster Dragon,Monster Card,,,DARK,Effect Monster,Dragon,"('Effect',)",1600,False,False,2400,,7,Stock Buster Dragon,https://yugipedia.com/wiki/Stock_Buster_Dragon,,2022-12-25 17:39:46,
Stock the Noodle Ninja,Monster Card,,"('Noodle Ninja',)",FIRE,Normal Monster,Pyro,,1200,False,False,1000,,4,Stock the Noodle Ninja,https://yugipedia.com/wiki/Stock_the_Noodle_Ninja,,2022-10-20 07:39:39,
Stone Dragon,Monster Card,,,EARTH,Normal Monster,Rock,,2300,False,False,2000,,7,Stone Dragon (Rush Duel),https://yugipedia.com/wiki/Stone_Dragon_(Rush_Duel),,2022-09-21 06:24:48,
Stop Defense,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Stop Defense (Rush Duel),https://yugipedia.com/wiki/Stop_Defense_(Rush_Duel),,2022-09-20 11:19:33,
Storm Sonic,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Storm Sonic,https://yugipedia.com/wiki/Storm_Sonic,,2022-09-21 06:12:40,
Stormbolt Destroyer,Monster Card,,,WATER,Effect Monster,Thunder,"('Effect',)",1600,False,False,2400,,7,Stormbolt Destroyer,https://yugipedia.com/wiki/Stormbolt_Destroyer,,2022-09-21 06:26:32,
Straight Pierce,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Straight Pierce,https://yugipedia.com/wiki/Straight_Pierce,,2022-10-30 07:47:26,
Strange Seas,Spell Card,Normal Spell Card,,,,,"('Effect',)",,False,False,,,,Strange Seas,https://yugipedia.com/wiki/Strange_Seas,,2022-11-17 12:07:30,
The Strange Specter of Celestial Severance,Monster Card,,,DARK,Effect Monster,Zombie,"('Effect',)",0,False,False,1200,,3,The Strange Specter of Celestial Severance,https://yugipedia.com/wiki/The_Strange_Specter_of_Celestial_Severance,,2022-10-20 06:56:35,
Strange Traveler,Monster Card,,,LIGHT,Effect Monster,Galaxy (Type),"('Effect',)",200,False,False,1100,,4,Strange Traveler,https://yugipedia.com/wiki/Strange_Traveler,,2022-09-20 11:09:04,
Strange Wall,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Strange Wall,https://yugipedia.com/wiki/Strange_Wall,,2022-12-21 09:17:37,
Stray Force,Trap Card,Normal Trap Card,,,,,"('Effect',)",,False,False,,,,Stray Force,https://yugipedia.com/wiki/Stray_Force,,2023-01-21 14:51:06,
Straynge Cat,Monster Card,,,EARTH,Normal Monster,Spellcaster,,1400,False,False,0,,1,Straynge Cat,https://yugipedia.com/wiki/Straynge_Cat,,2022-04-23 06:51:10,
Straynge Cats,Monster Card,,,EARTH,Fusion Monster,Spellcaster,"('Effect',)",2600,False,False,200,,7,Straynge Cats,https://yugipedia.com/wiki/Straynge_Cats,,2022-10-31 18:32:48,
Stream,Spell Card,Field Spell Card,,,,,"('Effect',)",,False,False,,,,Stream,https://yugipedia.com/wiki/Stream,,2022-12-19 20:07:45,
Strong Boy Sevens Road,Monster Card,,"('Sevens Road',)",DARK,Effect Monster,Spellcaster,"('Effect',)",1500,False,False,2100,,7,Strong Boy Sevens Road,https://yugipedia.com/wiki/Strong_Boy_Sevens_Road,,2023-02-04 14:29:24,
Stud Hedgepeg,Monster Card,,,EARTH,Effect Monster,Machine,"('Effect',)",900,False,False,800,,2,Stud Hedgepeg,https://yugipedia.com/wiki/Stud_Hedgepeg,,2022-12-21 09:23:46,
Sturdy Strike Dragon Metagiastar F,Monster Card,,"('Strike Dragon',)",DARK,Fusion Monster,High Dragon,"('Multi-Choice Effect',)",2000,False,False,3000,,9,Sturdy Strike Dragon Metagiastar F,https://yugipedia.com/wiki/Sturdy_Strike_Dragon_Metagiastar_F,,2023-01-07 05:19:36,
Summoned Skull,Monster Card,,,DARK,Normal Monster,Fiend,,1200,True,False,2500,,6,Summoned Skull (Rush Duel),https://yugipedia.com/wiki/Summoned_Skull_(Rush_Duel),,2023-02-16 14:26:48,
Sunbathing Kappa,Trap Card,Normal Trap Card,"('Kappa',)",,,,"('Effect',)",,False,False,,,,Sunbathing Kappa,https://yugipedia.com/wiki/Sunbathing_Kappa,,2022-11-17 12:06:29,
Sunny Fairy Spinangel,Monster Card,,,FIRE,Normal Monster,Fairy,,0,False,False,1500,,4,Sunny Fairy Spinangel,https://yugipedia.com/wiki/Sunny_Fairy_Spinangel,,2022-12-20 10:47:40,
Sunny Forest,Spell Card,Field Spell Card,,,,,"('Effect',)",,False,False,,,,Sunny Forest,https://yugipedia.com/wiki/Sunny_Forest,,2023-01-06 14:44:05,
Super Assistant Achi,Monster Card,,"('Chemistry',)",FIRE,Normal Monster,Pyro,,1500,False,False,0,,1,Super Assistant Achi,https://yugipedia.com/wiki/Super_Assistant_Achi,,2023-01-04 11:48:05,
Super King Rex,Monster Card,,,EARTH,Effect Monster,Dinosaur,"('Effect',)",2000,False,False,2500,,8,Super King Rex,https://yugipedia.com/wiki/Super_King_Rex,,2022-09-21 03:39:00,
Supreme Beast Magnum Overlord,Monster Card,,"('Supreme Magnum Overlord',)",DARK,Effect Monster,Machine,"('Continuous Effect', 'Summoning condition')",0,False,True,1900,3500,10,Supreme Beast Magnum Overlord,https://yugipedia.com/wiki/Supreme_Beast_Magnum_Overlord,,2022-10-30 15:44:15,
Supreme Beast Magnum Overlord [L],Monster Card,,"('Supreme Magnum Overlord',)",DARK,Effect Monster,Machine,"('Continuous Effect',)",0,False,True,800,,4,Supreme Beast Magnum Overlord (L),https://yugipedia.com/wiki/Supreme_Beast_Magnum_Overlord_(L),,2022-10-30 06:25:14,
Supreme Beast Magnum Overlord [R],Monster Card,,"('Supreme Magnum Overlord',)",DARK,Effect Monster,Machine,"('Continuous Effect',)",0,False,True,500,,3,Supreme Beast Magnum Overlord (R),https://yugipedia.com/wiki/Supreme_Beast_Magnum_Overlord_(R),,2022-10-30 06:25:32,
Supreme HQ Magnum Overbase,Spell Card,Field Spell Card,,,,,"('Effect',)",,False,False,,,,Supreme HQ Magnum Overbase,https://yugipedia.com/wiki/Supreme_HQ_Magnum_Overbase,,2022-09-21 06:02:25,
Supreme Machine Magnum Overlord,Monster Card,,"('Supreme Magnum Overlord',)",DARK,Effect Monster,Machine,"('Continuous Effect', 'Summoning condition')",0,False,True,1900,3500,10,Supreme Machine Magnum Overlord,https://yugipedia.com/wiki/Supreme_Machine_Magnum_Overlord,,2022-11-25 12:02:07,
Supreme Machine Magnum Overlord [L],Monster Card,,"('Supreme Magnum Overlord',)",DARK,Effect Monster,Machine,"('Effect',)",0,False,True,800,,4,Supreme Machine Magnum Overlord (L),https://yugipedia.com/wiki/Supreme_Machine_Magnum_Overlord_(L),"('Alternate',)",2022-11-25 12:02:38,
Supreme Machine Magnum Overlord [R],Monster Card,,"('Supreme Magnum Overlord',)",DARK,Effect Monster,Machine,"('Effect',)",0,False,True,500,,3,Supreme Machine Magnum Overlord (R),https://yugipedia.com/wiki/Supreme_Machine_Magnum_Overlord_(R),"('Alternate',)",2022-11-25 12:02:45,
Supreme Skystream Magnum Overlord,Monster Card,,"('Supreme Magnum Overlord',)",DARK,Effect Monster,Machine,"('Effect', 'Summoning condition')",0,False,True,1900,3500,10,Supreme Skystream Magnum Overlord,https://yugipedia.com/wiki/Supreme_Skystream_Magnum_Overlord,,2023-01-05 23:18:26,
