Name,Password,Card type,Property,Effect type,Archseries,Artwork,TCG status,OCG status,Page name,Modification date,Errata,Primary type,Secondary type,Attribute,Monster type,Level/Rank,ATK,DEF,Pendulum Scale,Link,Link Arrows
Temtempo the Percussion Djinn,52558805,Monster Card,,"('Quick Effect',)","('Djinn',)",,Unlimited,Unlimited,Temtempo the Percussion Djinn,2021-11-07 16:15:06,,Xyz Monster,,EARTH,Fiend,3,1700,1000,,,
Ten Thousand Dragon,00010000,Monster Card,,"('Continuous Effect', 'Summoning condition')",,,Unlimited,Unlimited,Ten Thousand Dragon,2022-05-22 12:36:55,,Effect Monster,,DARK,Dragon,10,?,?,,,
Tenacity of the Monarchs,33609262,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('Monarch (Spell/Trap archetype)',)",,Unlimited,Unlimited,Tenacity of the Monarchs,2019-12-06 16:22:35,,,,,,,,,,,
Tenderness,57935140,Monster Card,,,,,,Unlimited,Tenderness,2021-11-07 16:15:24,,Normal Monster,,LIGHT,Fairy,3,700,1400,,,
"Tengu, the Winged Mayakashi",04103668,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('Mayakashi',)",,Unlimited,Unlimited,"Tengu, the Winged Mayakashi",2020-03-17 13:07:08,,Synchro Monster,,WIND,Zombie,7,2600,1500,,,
Tenkabito Shien,41589166,Monster Card,,"('Continuous Effect',)","('Shien',)",,Unlimited,Unlimited,Tenkabito Shien,2021-10-18 03:09:12,,Effect Monster,,FIRE,Pyro,4,1500,1000,,,
Tenma the Sky Star,33837653,Monster Card,,"('Condition', 'Quick Effect', 'Trigger Effect', 'Unclassified effect')","('Star (series)',)",,Unlimited,Unlimited,Tenma the Sky Star,2021-09-15 16:24:22,,Effect Monster,,LIGHT,Warrior,5,2100,1000,,,
Tenmataitei,90122655,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,Tenmataitei,2020-03-17 13:08:21,,Effect Monster,,DARK,Warrior,5,2400,1000,,,
Tenshin,59563768,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,Tenshin,2023-01-03 20:38:29,,Effect Monster,,LIGHT,Fairy,2,800,100,,,
Tentacle Plant,60715406,Monster Card,,,,,,Unlimited,Tentacle Plant,2021-11-07 16:15:49,,Normal Monster,,WATER,Plant,2,500,600,,,
Tenyi Spirit - Adhara,98159737,Monster Card,,"('Condition', 'Ignition Effect')","('Tenyi',)",,Unlimited,Unlimited,Tenyi Spirit - Adhara,2022-05-05 14:10:18,,Effect Monster,Tuner monster,EARTH,Wyrm,1,0,0,,,
Tenyi Spirit - Ashuna,87052196,Monster Card,,"('Condition', 'Ignition Effect')","('Tenyi',)",,Unlimited,Unlimited,Tenyi Spirit - Ashuna,2022-05-05 14:09:05,,Effect Monster,,LIGHT,Wyrm,7,1600,2600,,,
Tenyi Spirit - Mapura,60942444,Monster Card,,"('Condition', 'Ignition Effect', 'Quick Effect')","('Tenyi',)",,Unlimited,Unlimited,Tenyi Spirit - Mapura,2022-05-05 14:09:47,,Effect Monster,,FIRE,Wyrm,4,600,1500,,,
Tenyi Spirit - Nahata,97036149,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Tenyi',)",,Unlimited,Unlimited,Tenyi Spirit - Nahata,2022-05-05 14:09:33,,Effect Monster,,WIND,Wyrm,4,800,1000,,,
Tenyi Spirit - Sahasrara,38030232,Monster Card,,"('Condition', 'Continuous Effect', 'Quick Effect')","('Tenyi',)",,Unlimited,Unlimited,Tenyi Spirit - Sahasrara,2022-08-13 12:08:50,,Link Monster,,LIGHT,Wyrm,,3000,,,4,"('↓', '↘', '↑', '↗')"
Tenyi Spirit - Shthana,24557335,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Tenyi',)",,Unlimited,Unlimited,Tenyi Spirit - Shthana,2022-07-24 08:41:56,,Effect Monster,,WATER,Wyrm,4,400,2000,,,
Tenyi Spirit - Vishuda,23431858,Monster Card,,"('Condition', 'Ignition Effect')","('Tenyi',)",,Unlimited,Unlimited,Tenyi Spirit - Vishuda,2022-05-05 14:09:19,,Effect Monster,,DARK,Wyrm,7,1500,2500,,,
Terminal World,54631834,Spell Card,Continuous Spell Card,"('Activation condition', 'Continuous-like Effect')",,,Unlimited,Unlimited,Terminal World,2020-03-21 12:47:06,"('Name',)",,,,,,,,,,
Terminal World NEXT,48605591,Spell Card,Continuous Spell Card,"('Activation condition', 'Continuous-like Effect')",,,Unlimited,Unlimited,Terminal World NEXT,2020-07-21 05:16:56,,,,,,,,,,,
Terra Firma Gravity,26509612,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,,Unlimited,Unlimited,Terra Firma Gravity,2022-08-14 07:43:56,,,,,,,,,,,
Terra the Terrible,63308047,Monster Card,,,"('Djinn',)",,Unlimited,Unlimited,Terra the Terrible,2022-05-27 22:20:34,,Normal Monster,,DARK,Fiend,4,1200,1300,,,
Terraforming,73628505,Spell Card,Normal Spell Card,"('Effect',)",,,Limited,Limited,Terraforming,2023-01-03 00:59:36,"('Name', 'Type')",,,,,,,,,,
"Terratiger, the Empowered Warrior",56681873,Monster Card,,"('Trigger Effect',)","('Empower', 'Empowered Warrior')",,Unlimited,Unlimited,"Terratiger, the Empowered Warrior",2020-08-13 04:40:43,,Effect Monster,,EARTH,Warrior,4,1800,1200,,,
Terrene Toothed Tsuchinoko,77428945,Monster Card,,"('Condition', 'Trigger Effect')",,,Unlimited,Unlimited,Terrene Toothed Tsuchinoko,2020-03-17 13:11:40,,Effect Monster,,EARTH,Reptile,3,1600,500,,,
Terrible Deal,69724380,Trap Card,Normal Trap Card,"('Cost', 'Effect')",,,Unlimited,Unlimited,Terrible Deal,2020-03-21 12:48:14,,,,,,,,,,,
Terrifying Toddler of Torment,48468330,Monster Card,,"('Condition', 'Flip effect', 'Trigger Effect')",,,Unlimited,Unlimited,Terrifying Toddler of Torment,2020-12-17 06:04:15,,Effect Monster,Flip monster,DARK,Fiend,3,0,2000,,,
Terror of Trishula,06075533,Trap Card,Normal Trap Card,"('Condition', 'Effect', 'Quick-like Effect')",,,Unlimited,Unlimited,Terror of Trishula,2022-11-06 10:22:06,,,,,,,,,,,
Terrorking Archfiend,35975813,Monster Card,,"('Continuous Effect', 'Maintenance cost', 'Summoning condition')","('Archfiend',)",,Unlimited,Unlimited,Terrorking Archfiend,2021-03-07 07:07:43,"('Name',)",Effect Monster,,DARK,Fiend,4,2000,1500,,,
Terrorking Salmon,78060096,Monster Card,,,,,Unlimited,Unlimited,Terrorking Salmon,2022-10-20 13:57:22,,Normal Monster,,WATER,Fish,5,2400,1000,,,
Terrors in the Hidden City,06589707,Spell Card,Continuous Spell Card,"('Continuous-like Effect', 'Trigger Effect')",,,Unlimited,Unlimited,Terrors in the Hidden City,2022-10-23 19:44:12,,,,,,,,,,,
Terrors of the Overroot,63086455,Trap Card,Normal Trap Card,"('Condition', 'Effect')",,,Unlimited,Unlimited,Terrors of the Overroot,2022-08-05 22:21:58,,,,,,,,,,,
Terrors of the Underroot,11110218,Trap Card,Normal Trap Card,"('Condition', 'Effect')",,,Unlimited,Unlimited,Terrors of the Underroot,2022-09-17 12:58:36,,,,,,,,,,,
Test Ape,03030892,Monster Card,,"('Trigger Effect',)","('Test',)",,Unlimited,Unlimited,Test Ape,2020-03-17 13:14:23,,Effect Monster,,EARTH,Beast,2,700,300,,,
Test Panther,66863374,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Test',)",,Unlimited,Unlimited,Test Panther,2020-09-01 18:30:12,,Link Monster,,EARTH,Beast,,800,,,2,"('↓', '↙')"
Test Tiger,92373006,Monster Card,,"('Ignition Effect', 'Unclassified effect')","('Test',)",,Unlimited,Unlimited,Test Tiger,2020-06-24 06:39:33,,Effect Monster,,EARTH,Beast,3,600,300,,,
Testament of the Arcane Lords,,Monster Card,,"('Condition', 'Summoning condition')","('Match winner', 'Prophecy')",,Illegal,Illegal,Testament of the Arcane Lords,2022-04-20 15:31:32,,Effect Monster,,LIGHT,Spellcaster,10,3000,3000,,,
Testudo erat Numen,74952447,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,Testudo erat Numen,2020-03-17 13:15:58,,Effect Monster,,WATER,Aqua,1,0,1800,,,
"Tethys, Goddess of Light",87148330,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,"Tethys, Goddess of Light",2022-04-20 15:04:19,,Effect Monster,,LIGHT,Fairy,5,2400,1800,,,
Teva,16469012,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,Teva,2020-05-01 18:16:09,,Effect Monster,,LIGHT,Warrior,5,2000,1500,,,
Texchanger,74210057,Monster Card,,"('Trigger Effect',)","('Change',)",,Unlimited,Unlimited,Texchanger,2020-03-17 13:16:59,,Effect Monster,,DARK,Cyberse,1,100,100,,,
That Grass Looks Greener,11110587,Spell Card,Normal Spell Card,"('Effect',)",,,Forbidden,Semi-Limited,That Grass Looks Greener,2022-06-22 02:02:28,,,,,,,,,,,
That Six,39454112,Trap Card,Continuous Trap Card,"('Continuous-like Effect',)",,,Unlimited,Unlimited,That Six,2021-03-13 08:12:55,,,,,,,,,,,
That Wacky Alchemy!,22869904,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,,Unlimited,Unlimited,That Wacky Alchemy!,2021-01-20 18:12:51,,,,,,,,,,,
That Wacky Magic!,50427388,Spell Card,Normal Spell Card,"('Effect',)",,,Unlimited,Unlimited,That Wacky Magic!,2023-01-03 20:34:13,,,,,,,,,,,
That Which Feeds on Life,52367652,Monster Card,,,,,Unlimited,Unlimited,That Which Feeds on Life,2021-11-07 16:12:30,,Normal Monster,,DARK,Fiend,4,1200,1000,,,
The 13th Grave,00032864,Monster Card,,,,,Unlimited,Unlimited,The 13th Grave,2022-05-04 02:35:37,,Normal Monster,,DARK,Zombie,3,1200,900,,,
The A. Forces,00403847,Spell Card,Continuous Spell Card,"('Continuous-like Effect',)",,,Unlimited,Unlimited,The A. Forces,2022-11-20 04:51:38,"('Type',)",,,,,,,,,,
The Accumulator,70410002,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,The Accumulator,2020-03-12 23:25:59,,Effect Monster,,LIGHT,Thunder,1,0,0,,,
The Agent of Creation - Venus,64734921,Monster Card,,"('Ignition Effect',)","('The Agent',)",,Unlimited,Unlimited,The Agent of Creation - Venus,2022-05-05 15:20:31,,Effect Monster,,LIGHT,Fairy,3,1600,0,,,
The Agent of Destruction - Venus,99054885,Monster Card,,"('Condition', 'Ignition Effect')","('The Agent',)",,Unlimited,Unlimited,The Agent of Destruction - Venus,2022-02-11 11:48:25,,Effect Monster,Tuner monster,DARK,Fairy,3,0,1600,,,
The Agent of Entropy - Uranus,97750534,Monster Card,,"('Ignition Effect', 'Unclassified effect')","('The Agent',)",,Unlimited,Unlimited,The Agent of Entropy - Uranus,2022-05-05 15:20:24,"('Type',)",Effect Monster,Tuner monster,DARK,Fairy,5,2200,1200,,,
The Agent of Force - Mars,91123920,Monster Card,,"('Continuous Effect',)","('The Agent',)",,Unlimited,Unlimited,The Agent of Force - Mars,2022-05-05 15:20:30,"('Name',)",Effect Monster,,LIGHT,Fairy,3,0,0,,,
The Agent of Judgment - Saturn,91345518,Monster Card,,"('Condition', 'Ignition Effect')","('The Agent',)",,Unlimited,Unlimited,The Agent of Judgment - Saturn,2022-05-05 15:20:25,,Effect Monster,,LIGHT,Fairy,6,2400,0,,,
The Agent of Life - Neptune,38529357,Monster Card,,"('Condition', 'Ignition Effect', 'Trigger Effect')","('Field Searcher', 'The Agent')",,Unlimited,Unlimited,The Agent of Life - Neptune,2022-12-03 22:42:22,,Effect Monster,,LIGHT,Fairy,1,0,600,,,
The Agent of Miracles - Jupiter,28573958,Monster Card,,"('Ignition Effect',)","('The Agent',)",,Unlimited,Unlimited,The Agent of Miracles - Jupiter,2022-05-05 15:20:26,,Effect Monster,,LIGHT,Fairy,4,1800,1000,,,
The Agent of Mystery - Earth,91188343,Monster Card,,"('Trigger Effect',)","('The Agent',)",,Unlimited,Unlimited,The Agent of Mystery - Earth,2022-05-05 15:20:25,,Effect Monster,Tuner monster,LIGHT,Fairy,2,1000,800,,,
The Agent of Wisdom - Mercury,38730226,Monster Card,,"('Trigger Effect',)","('The Agent',)",,Unlimited,Unlimited,The Agent of Wisdom - Mercury,2022-05-05 15:20:32,,Effect Monster,,LIGHT,Fairy,4,0,1700,,,
The All-Seeing White Tiger,32269855,Monster Card,,,,,Unlimited,Unlimited,The All-Seeing White Tiger,2021-11-06 15:28:56,,Normal Monster,,WIND,Beast,3,1300,500,,,
The Arrival Cyberse @Ignister,11738489,Monster Card,,"('Continuous Effect', 'Ignition Effect', 'Unclassified effect')","('@Ignister', 'Cyber')",,Unlimited,Unlimited,The Arrival Cyberse @Ignister,2022-12-25 09:09:15,,Link Monster,,DARK,Cyberse,,0,,,6,"('↓', '↙', '↘', '←', '→', '↑')"
The Ascended of Thunder,70493141,Monster Card,,"('Trigger Effect', 'Unclassified effect')",,,Unlimited,Unlimited,The Ascended of Thunder,2021-06-23 02:50:10,,Effect Monster,,LIGHT,Thunder,7,2700,2400,,,
The Atmosphere,14466224,Monster Card,,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Summoning condition')","('Sphere',)",,Unlimited,Unlimited,The Atmosphere,2021-07-10 13:26:25,,Effect Monster,,WIND,Winged Beast,8,1000,800,,,
The Beginning of the End,73680966,Spell Card,Normal Spell Card,"('Activation condition', 'Cost', 'Effect')",,,Unlimited,Unlimited,The Beginning of the End,2021-04-27 00:44:29,,,,,,,,,,,
The Bewitching Phantom Thief,24348204,Monster Card,,,,,,Unlimited,The Bewitching Phantom Thief,2022-05-25 01:47:24,,Normal Monster,,DARK,Spellcaster,2,700,700,,,
The Big Cattle Drive,82386016,Spell Card,Normal Spell Card,"('Activation condition', 'Condition', 'Effect')",,,Unlimited,Unlimited,The Big Cattle Drive,2022-04-20 15:36:23,,,,,,,,,,,
The Big March of Animals,01689516,Spell Card,Quick-Play Spell Card,"('Effect',)",,,Unlimited,Unlimited,The Big March of Animals,2022-04-20 15:51:18,,,,,,,,,,,
The Big Saturn,34004470,Monster Card,,"('Ignition Effect', 'Summoning condition', 'Trigger Effect')","('Legendary Planet',)",,Unlimited,Unlimited,The Big Saturn,2021-11-07 09:27:53,,Effect Monster,,DARK,Machine,8,2800,2200,,,
The Bistro Butcher,71107816,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,The Bistro Butcher,2022-04-11 15:50:47,,Effect Monster,,DARK,Fiend,4,1800,1000,,,
The Black Stone of Legend,66574418,Monster Card,,"('Condition', 'Ignition Effect')",,,Unlimited,Unlimited,The Black Stone of Legend,2020-07-02 14:39:55,,Effect Monster,,DARK,Dragon,1,0,0,,,
The Blazing Mars,15033525,Monster Card,,"('Condition', 'Ignition Effect')","('Legendary Planet',)",,Unlimited,Unlimited,The Blazing Mars,2020-09-11 15:12:21,,Effect Monster,,FIRE,Pyro,8,2600,2200,,,
The Book of the Law,00458748,Spell Card,Quick-Play Spell Card,"('Condition', 'Cost', 'Effect')",,,Unlimited,Unlimited,The Book of the Law,2022-11-05 14:32:35,,,,,,,,,,,
The Breaking Ruin God,85182315,Spell Card,Quick-Play Spell Card,"('Condition', 'Effect', 'Trigger Effect')",,,Unlimited,Unlimited,The Breaking Ruin God,2023-01-01 19:08:02,,,,,,,,,,,
The Bystial Alba Los,69120785,Monster Card,,"('Continuous Effect', 'Summoning condition', 'Trigger Effect')","('Bystial',)",,Unlimited,Unlimited,The Bystial Alba Los,2022-10-23 20:18:44,,Effect Monster,,LIGHT,Dragon,12,3500,3500,,,
The Bystial Aluber,,Monster Card,,"('Condition', 'Trigger Effect', 'Unclassified effect')","('Bystial',)",,,Not yet released,The Bystial Aluber,2023-01-09 11:32:00,,Effect Monster,Tuner monster,DARK,Dragon,4,1800,0,,,
The Bystial Lubellion,32731036,Monster Card,,"('Condition', 'Ignition Effect', 'Summoning condition')","('Bystial',)",,Unlimited,Unlimited,The Bystial Lubellion,2022-10-23 20:18:46,,Effect Monster,,LIGHT,Dragon,8,2500,3000,,,
The Calculator,51196174,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,The Calculator,2022-02-05 06:34:55,,Effect Monster,,LIGHT,Thunder,2,?,0,,,
The Calibrator,54706054,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,The Calibrator,2021-01-26 17:50:23,,Effect Monster,,LIGHT,Thunder,4,1500,1500,,,
The Chaos Creator,90488465,Monster Card,,"('Condition', 'Ignition Effect', 'Summoning condition')","('Chaos', 'Creator')",,Unlimited,Unlimited,The Chaos Creator,2022-11-17 14:32:14,,Effect Monster,,DARK,Thunder,8,2300,3000,,,
The Cheerful Coffin,41142615,Spell Card,Normal Spell Card,"('Effect',)",,"('Edited',)",Unlimited,Unlimited,The Cheerful Coffin,2022-04-11 17:41:22,"('Type',)",,,,,,,,,,
The Chorus in the Sky,64927055,Spell Card,Normal Spell Card,"('Condition', 'Effect')",,,Unlimited,Unlimited,The Chorus in the Sky,2022-05-06 07:39:22,,,,,,,,,,,
The Claw of Hermos,46232525,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('Legendary Dragon',)",,Unlimited,Unlimited,The Claw of Hermos,2022-04-15 13:42:43,,,,,,,,,,,
The Creator,61505339,Monster Card,,"('Ignition Effect', 'Summoning condition')","('Creator',)",,Unlimited,Unlimited,The Creator,2021-11-07 10:15:43,,Effect Monster,,LIGHT,Thunder,8,2300,3000,,,
The Creator Incarnate,97093037,Monster Card,,"('Ignition Effect',)",,,Unlimited,Unlimited,The Creator Incarnate,2021-04-08 20:38:25,,Effect Monster,,LIGHT,Warrior,4,1600,1500,,,
The Dark - Hex-Sealed Fusion,52101615,Monster Card,,"('Ignition Effect', 'Unclassified effect')","('Hex-Sealed Fusion', 'Polymerization (archetype)')",,Unlimited,Unlimited,The Dark - Hex-Sealed Fusion,2021-04-06 16:50:51,,Effect Monster,,DARK,Rock,3,1000,1600,,,
The Dark Creator,92719314,Monster Card,,"('Ignition Effect', 'Summoning condition')","('Creator', 'Dark counterpart')",,Unlimited,Unlimited,The Dark Creator,2022-09-27 16:43:21,,Effect Monster,,DARK,Thunder,8,2300,3000,,,
The Dark Door,30606547,Spell Card,Continuous Spell Card,"('Continuous-like Effect',)",,,Unlimited,Unlimited,The Dark Door,2022-08-14 07:23:54,"('Type',)",,,,,,,,,,
The Dark Magicians,50237654,Monster Card,,"('Trigger Effect',)","('Dark Magician (archetype)', 'Prophecy', 'Ultimate Magical')",,Unlimited,Unlimited,The Dark Magicians,2022-07-22 00:26:45,,Fusion Monster,,DARK,Spellcaster,8,2800,2300,,,
The Deal of Destiny,32245230,Trap Card,Continuous Trap Card,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",,,Unlimited,Unlimited,The Deal of Destiny,2021-12-03 11:44:05,,,,,,,,,,,
The Deep Grave,17688543,Trap Card,Normal Trap Card,"('Effect',)",,,Unlimited,Unlimited,The Deep Grave,2022-07-24 07:54:43,,,,,,,,,,,
The Despair Uranus,32588805,Monster Card,,"('Continuous Effect', 'Trigger Effect')","('Legendary Planet',)",,Unlimited,Unlimited,The Despair Uranus,2020-09-11 15:13:21,,Effect Monster,,LIGHT,Rock,8,2900,2300,,,
The Door of Destiny,27062594,Trap Card,Continuous Trap Card,"('Activation condition', 'Effect', 'Trigger Effect')","('Trap Monster',)",,Unlimited,Unlimited,The Door of Destiny,2022-11-28 16:41:27,,,,,,,,,,,
The Dragon Dwelling in the Cave,93346024,Monster Card,,,,,Unlimited,Unlimited,The Dragon Dwelling in the Cave,2021-11-07 13:09:50,"('Name',)",Normal Monster,,WIND,Dragon,4,1300,2000,,,
The Dragon Dwelling in the Deep,04404099,Monster Card,,"('Trigger Effect',)",,,Unlimited,Unlimited,The Dragon Dwelling in the Deep,2020-07-21 05:25:14,,Effect Monster,,WATER,Sea Serpent,4,1700,1400,,,
The Dragon's Bead,92408984,Trap Card,Continuous Trap Card,"('Quick-like Effect',)",,,Unlimited,Unlimited,The Dragon's Bead,2021-11-07 13:12:52,,,,,,,,,,,
The Drdek,08944575,Monster Card,,,,,,Unlimited,The Drdek,2022-03-05 09:14:28,,Normal Monster,,DARK,Fiend,3,700,800,,,
The Earl of Demise,66989694,Monster Card,,,,,Unlimited,Unlimited,The Earl of Demise,2021-11-07 13:29:00,,Normal Monster,,DARK,Fiend,5,2000,700,,,
The Earth - Hex-Sealed Fusion,88696724,Monster Card,,"('Ignition Effect', 'Unclassified effect')","('Hex-Sealed Fusion', 'Polymerization (archetype)')",,Unlimited,Unlimited,The Earth - Hex-Sealed Fusion,2022-04-09 17:11:15,,Effect Monster,,EARTH,Rock,3,1000,1600,,,
The Emperor's Holiday,68400115,Trap Card,Continuous Trap Card,"('Continuous-like Effect',)",,"('Edited',)",Unlimited,Unlimited,The Emperor's Holiday,2023-01-03 20:06:03,"('Name',)",,,,,,,,,,
The End of Anubis,65403020,Monster Card,,"('Continuous Effect',)",,,Unlimited,Unlimited,The End of Anubis,2021-10-23 11:07:35,,Effect Monster,,DARK,Fiend,6,2500,0,,,
The Executor of the Underworld - Pluto,37706769,Monster Card,,"('Condition', 'Ignition Effect')","('Field Searcher', 'The Agent')",,Unlimited,Unlimited,The Executor of the Underworld - Pluto,2022-12-03 22:45:38,,Synchro Monster,Tuner monster,DARK,Fairy,5,2300,0,,,
The Eye of Timaeus,01784686,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('Legendary Dragon',)",,Unlimited,Unlimited,The Eye of Timaeus,2022-12-25 09:12:55,,,,,,,,,,,
The Eye of Truth,34694160,Trap Card,Continuous Trap Card,"('Continuous-like Effect', 'Trigger Effect')",,,Unlimited,Unlimited,The Eye of Truth,2021-11-07 13:40:48,"('Name',)",,,,,,,,,,
The Fabled Abanc,83039608,Monster Card,,"('Condition', 'Ignition Effect')","('Fabled',)",,Unlimited,Unlimited,The Fabled Abanc,2022-09-17 13:34:04,,Effect Monster,Tuner monster,LIGHT,Beast,2,1000,600,,,
The Fabled Catsith,56399890,Monster Card,,"('Trigger Effect',)","('Fabled',)",,Unlimited,Unlimited,The Fabled Catsith,2022-07-09 01:35:38,,Effect Monster,Tuner monster,LIGHT,Beast,1,800,600,,,
The Fabled Cerburrel,82888408,Monster Card,,"('Trigger Effect',)","('Fabled',)",,Unlimited,Unlimited,The Fabled Cerburrel,2022-03-11 19:17:01,,Effect Monster,Tuner monster,LIGHT,Beast,2,1000,400,,,
The Fabled Chawa,29905795,Monster Card,,"('Ignition Effect',)","('Fabled',)",,Unlimited,Unlimited,The Fabled Chawa,2022-07-09 01:34:49,,Effect Monster,Tuner monster,LIGHT,Beast,1,200,100,,,
The Fabled Ganashia,18282103,Monster Card,,"('Trigger Effect',)","('Fabled',)",,Unlimited,Unlimited,The Fabled Ganashia,2022-07-09 01:36:31,,Effect Monster,,LIGHT,Beast,3,1600,1000,,,
The Fabled Kokkator,26704411,Monster Card,,"('Trigger Effect',)","('Fabled',)",,Unlimited,Unlimited,The Fabled Kokkator,2022-03-11 19:11:09,,Effect Monster,,LIGHT,Beast,4,1700,1500,,,
The Fabled Kudabbi,89194103,Monster Card,,"('Condition', 'Continuous Effect', 'Trigger Effect')","('Fabled',)",,Unlimited,Unlimited,The Fabled Kudabbi,2022-03-11 19:04:21,,Synchro Monster,,LIGHT,Beast,4,2200,1100,,,
The Fabled Nozoochee,55277252,Monster Card,,"('Ignition Effect', 'Trigger Effect')","('Fabled',)",,Unlimited,Unlimited,The Fabled Nozoochee,2022-07-09 01:37:43,,Effect Monster,,LIGHT,Beast,2,1200,800,,,
The Fabled Peggulsus,90616316,Monster Card,,"('Trigger Effect',)","('Fabled',)",,Unlimited,Unlimited,The Fabled Peggulsus,2022-03-11 19:12:48,,Effect Monster,Tuner monster,LIGHT,Beast,1,100,1600,,,
The Fabled Rubyruda,94845226,Monster Card,,"('Trigger Effect',)","('Fabled',)",,Unlimited,Unlimited,The Fabled Rubyruda,2022-02-25 11:15:43,,Effect Monster,Tuner monster,LIGHT,Beast,4,1100,800,,,
The Fabled Unicore,44155002,Monster Card,,"('Continuous Effect',)","('Fabled',)",,Unlimited,Unlimited,The Fabled Unicore,2022-12-25 09:08:20,,Synchro Monster,,LIGHT,Beast,4,2300,1000,,,
The Fang of Critias,11082056,Spell Card,Normal Spell Card,"('Condition', 'Effect')","('Legendary Dragon',)",,Unlimited,Unlimited,The Fang of Critias,2022-09-23 08:57:46,,,,,,,,,,,
The Fiend Megacyber,66362965,Monster Card,,"('Unclassified effect',)","('Cyber', 'Prophecy')",,Unlimited,Unlimited,The Fiend Megacyber,2023-01-03 17:04:55,,Effect Monster,,DARK,Warrior,6,2200,1200,,,
The First Darklord,04167084,Monster Card,,"('Condition', 'Continuous Effect', 'Quick Effect', 'Trigger Effect')","('Darklord',)",,Unlimited,Unlimited,The First Darklord,2022-08-14 10:28:34,,Fusion Monster,,DARK,Fairy,12,4000,4000,,,
The First Monarch,08522996,Trap Card,Continuous Trap Card,"('Continuous Effect', 'Effect', 'Trigger Effect')","('Monarch (Spell/Trap archetype)', 'Trap Monster')",,Unlimited,Unlimited,The First Monarch,2022-07-24 09:45:07,,,,,,,,,,,
The First Sarcophagus,31076103,Trap Card,Continuous Trap Card,"('Continuous-like Effect', 'Trigger Effect')","('Sarcophagus',)",,Unlimited,Unlimited,The First Sarcophagus,2020-03-20 12:48:57,,,,,,,,,,,
The Flute of Summoning Dragon,43973174,Spell Card,Normal Spell Card,"('Condition', 'Effect')",,,Unlimited,Unlimited,The Flute of Summoning Dragon,2022-06-27 10:22:42,"('Type',)",,,,,,,,,,
The Flute of Summoning Kuriboh,20065322,Spell Card,Quick-Play Spell Card,"('Effect',)","('Kuriboh (archetype)',)",,Unlimited,Unlimited,The Flute of Summoning Kuriboh,2022-05-20 20:45:27,"('Name',)",,,,,,,,,,
The Forceful Checkpoint,94861297,Trap Card,Normal Trap Card,"('Activation condition', 'Effect')",,,Unlimited,Unlimited,The Forceful Checkpoint,2020-05-25 10:41:21,,,,,,,,,,,
The Forceful Sentry,42829885,Spell Card,Normal Spell Card,"('Effect',)",,,Forbidden,Forbidden,The Forceful Sentry,2022-04-14 15:08:08,"('Type',)",,,,,,,,,,
The Forces of Darkness,29826127,Trap Card,Normal Trap Card,"('Effect',)",,,Unlimited,Unlimited,The Forces of Darkness,2022-12-01 15:55:06,,,,,,,,,,,
The Forgiving Maiden,84080938,Monster Card,,"('Ignition Effect',)",,"('Edited',)",Unlimited,Unlimited,The Forgiving Maiden,2023-01-03 19:17:49,,Effect Monster,,LIGHT,Fairy,4,850,2000,,,
The Fountain in the Sky,92223641,Spell Card,Continuous Spell Card,"('Trigger Effect',)",,,Unlimited,Unlimited,The Fountain in the Sky,2020-03-20 12:55:22,,,,,,,,,,,
The Furious Sea King,18710707,Monster Card,,,,,Unlimited,Unlimited,The Furious Sea King,2023-01-03 18:04:36,,Normal Monster,,WATER,Aqua,3,800,700,,,
The Gates of Dark World,33017655,Spell Card,Field Spell Card,"('Continuous-like Effect', 'Ignition-like Effect')","('Dark World',)",,Unlimited,Unlimited,The Gates of Dark World,2022-12-01 15:42:25,,,,,,,,,,,
The Gift of Greed,05915629,Trap Card,Normal Trap Card,"('Effect',)","('Greed (series)',)",,Unlimited,Unlimited,The Gift of Greed,2020-03-20 13:07:22,,,,,,,,,,,
The Golden Apples,42671151,Trap Card,Normal Trap Card,"('Activation condition', 'Effect', 'Lingering effect')",,,Unlimited,Unlimited,The Golden Apples,2022-05-24 16:02:29,,,,,,,,,,,
